campaign_id,campaign_name,platform,product_category,creative_id,variant,headline,body_copy,cta,metric_date,impressions,clicks,conversions,spend,revenue
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-01,315,13,0,152.98,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-02,322,15,0,340.87,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-03,283,11,0,115.83,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-04,363,16,0,370.46,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-05,273,12,0,231.92,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-06,273,10,0,314.71,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-07,304,10,0,194.11,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-08,217,8,0,228.91,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-09,249,10,0,176.92,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-10,253,9,0,82.56,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-11,358,14,0,460.63,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-12,296,10,0,249.73,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-13,269,11,0,145.11,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-14,243,10,0,288.73,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-15,267,10,0,313.95,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-16,267,13,0,396.77,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-17,293,11,0,287.04,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-18,330,12,0,119.13,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-19,303,10,0,146.1,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-20,235,10,0,329.86,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-21,326,13,0,217.82,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-22,288,11,0,332.08,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-23,228,8,0,78.3,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-24,273,12,0,328.6,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-25,309,10,0,318.86,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-26,308,12,0,141.24,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-27,264,11,0,309.86,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-28,339,15,0,266.61,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-29,256,10,0,213.25,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_A,A,Last 48 Hours: Up to 50% Off — Shop Now,Don't miss out. Our biggest sale ends soon. Free shipping on all orders above ₹499.,Shop Now,2024-01-30,308,14,0,169.77,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_B,B,Brand Name — Quality You Can Trust,"Discover our latest collection. Premium quality, fair prices.",Learn More,2024-01-01,409,4,0,38.86,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_B,B,Brand Name — Quality You Can Trust,"Discover our latest collection. Premium quality, fair prices.",Learn More,2024-01-02,368,3,0,66.86,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_B,B,Brand Name — Quality You Can Trust,"Discover our latest collection. Premium quality, fair prices.",Learn More,2024-01-03,495,6,0,49.86,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_B,B,Brand Name — Quality You Can Trust,"Discover our latest collection. Premium quality, fair prices.",Learn More,2024-01-04,436,5,0,112.49,0.0
CAMP_001,Campaign 1 — Fashion,Instagram,Fashion,CAMP_001_VAR_B,B,Brand Name — Quality You Can Trust,"Discover our latest collection. Premium quality, fair prices.",Learn More,2024-01-05,465,4,0,44.05,0.0
